startup_name,industry,funding_rounds,funding_amount_m,valuation_m,revenue_m,employees,funding_per_employee_m,revenue_per_employee_m,market_share,profitable,estimated_costs_m,profit_m,profit_margin,funding_efficiency,roi_percent,year_founded,startup_age,region,exit_status,ROI_norm,FundingEff_norm,Valuation_norm,RevenuePerEmp_norm,Age_norm,ROI_risk,FundingEff_risk,Valuation_risk,RevenuePerEmp_risk,Age_risk,ProfitMargin_risk,Exit_Adjustment,Risk_Score,risk_category
Startup_19,Gaming,3,153.98,1729.44,40.29,4345,0.035,0.009,4.5,0,32.23,8.06,20,0.26,1023.16,1995,27,North America,Acquired,0.689079007,0.002588095,0.396552516,0.003460208,0.84375,0.310920993,0.997411905,0.603447484,0.996539792,0.15625,1,-0.05,0.582835721,Low Risk
Startup_20,FinTech,5,222.64,714.35,87.44,4642,0.048,0.019,2.83,0,69.95,17.49,20,0.39,220.85,1995,27,Europe,Private,0.017453833,0.003882142,0.163469619,0.007304883,0.84375,0.982546167,0.996117858,0.836530381,0.992695117,0.15625,1,0.05,0.884868938,Very High Risk
Startup_21,Gaming,5,209.8,1442.91,51.06,4014,0.052,0.013,6.26,1,20.42,30.64,60,0.24,587.76,2007,15,North America,Private,0.324599441,0.002389011,0.330760081,0.004998078,0.46875,0.675400559,0.997610989,0.669239919,0.995001922,0.53125,0,0.05,0.721133614,Medium Risk
Startup_22,IoT,1,121.06,1776.82,72.37,2174,0.056,0.033,9.93,0,57.9,14.47,20,0.6,1367.72,1993,29,Europe,Private,0.97751511,0.005972526,0.407431815,0.012687428,0.90625,0.02248489,0.994027474,0.592568185,0.987312572,0.09375,1,0.05,0.600783831,Low Risk
Startup_23,Cybersecurity,1,65.8,655.46,10.5,2177,0.03,0.005,3.92,0,8.4,2.1,20,0.16,896.14,2006,16,Australia,Private,0.582748749,0.001592674,0.149947417,0.001922338,0.5,0.417251251,0.998407326,0.850052583,0.998077662,0.5,1,0.05,0.781213815,High Risk
Startup_24,IoT,2,193.69,1171.96,22.62,128,1.513,0.177,5.78,0,18.1,4.52,20,0.12,505.07,2003,19,South America,Private,0.255378459,0.001194505,0.268545095,0.06805075,0.59375,0.744621541,0.998805495,0.731454905,0.93194925,0.40625,1,0.05,0.826052107,High Risk
Startup_25,FinTech,1,126.8,1174.26,70.32,3163,0.04,0.022,4.21,0,56.26,14.06,20,0.55,826.07,2003,19,Asia,Acquired,0.52409215,0.005474816,0.269073216,0.008458285,0.59375,0.47590785,0.994525184,0.730926784,0.991541715,0.40625,1,-0.05,0.666877274,Medium Risk
Startup_26,IoT,3,40.12,285.33,5.38,790,0.051,0.007,8.49,1,2.15,3.23,60,0.13,611.19,2002,20,North America,Acquired,0.344213029,0.001294047,0.064958921,0.002691273,0.625,0.655786971,0.998705953,0.935041079,0.997308727,0.375,0,-0.05,0.641040404,Medium Risk
Startup_27,HealthTech,5,270.22,2536.54,48.71,2421,0.112,0.02,9.03,1,19.48,29.23,60,0.18,838.69,1996,26,Australia,Private,0.534656532,0.001791758,0.581877173,0.00768935,0.8125,0.465343468,0.998208242,0.418122827,0.99231065,0.1875,0,0.05,0.596292537,Low Risk
Startup_28,FinTech,2,207.52,935.69,59.98,801,0.259,0.075,8.79,1,23.99,35.99,60,0.29,350.89,2004,18,South America,IPO,0.126312177,0.002886721,0.214293259,0.028835063,0.5625,0.873687823,0.997113279,0.785706741,0.971164937,0.4375,0,0,0.725125363,Medium Risk
Startup_29,FinTech,1,205.11,941.98,60.25,4177,0.049,0.014,9.75,1,24.1,36.15,60,0.29,359.26,2008,14,Australia,Acquired,0.133318823,0.002886721,0.215737556,0.005382545,0.4375,0.866681177,0.997113279,0.784262444,0.994617455,0.5625,0,-0.05,0.689174935,Medium Risk
Startup_30,FinTech,3,246.86,1165.8,2.39,4159,0.059,0.001,0.37,0,1.91,0.48,20,0.01,372.25,2006,16,North America,Acquired,0.144192938,9.95E-05,0.267130648,0.000384468,0.5,0.855807062,0.999900458,0.732869352,0.999615532,0.5,1,-0.05,0.77380459,High Risk
Startup_31,AI,3,159.13,2272.03,32.28,1941,0.082,0.017,8.41,0,25.82,6.46,20,0.2,1327.78,2008,14,Asia,Acquired,0.944080765,0.001990842,0.521140926,0.006535948,0.4375,0.055919235,0.998009158,0.478859074,0.993464052,0.5625,1,-0.05,0.540680109,Very Low Risk
Startup_32,Gaming,1,244.61,2885.12,63.69,2161,0.113,0.029,7.54,0,50.95,12.74,20,0.26,1079.48,2009,13,Australia,Private,0.736225284,0.002588095,0.661917402,0.011149558,0.40625,0.263774716,0.997411905,0.338082598,0.988850442,0.59375,1,0.05,0.673841016,Medium Risk
Startup_33,AI,5,149.68,740.7,14.99,3812,0.039,0.004,2.36,0,11.99,3,20,0.1,394.86,2021,1,Europe,Private,0.163120092,0.000995421,0.169520053,0.00153787,0.03125,0.836879908,0.999004579,0.830479947,0.99846213,0.96875,1,0.05,0.930237204,Very High Risk
Startup_34,AI,1,20.62,108.47,69.57,1306,0.016,0.053,9.57,0,55.66,13.91,20,3.37,426.04,2013,9,South America,Private,0.189221316,0.03354569,0.024348689,0.020376778,0.28125,0.810778684,0.96645431,0.975651311,0.979623222,0.71875,1,0.05,0.911151713,Very High Risk
Startup_35,HealthTech,2,121.87,1434.4,74.62,4168,0.029,0.018,1.57,1,29.85,44.77,60,0.61,1076.99,2006,16,Australia,Private,0.73414087,0.006072068,0.328806033,0.006920415,0.5,0.26585913,0.993927932,0.671193967,0.993079585,0.5,0,0.05,0.614891402,Low Risk
Startup_36,Cybersecurity,1,149.49,728.61,98.2,3145,0.048,0.031,6.83,0,78.56,19.64,20,0.66,387.4,1996,26,South America,Private,0.15687522,0.006569779,0.166743971,0.011918493,0.8125,0.84312478,0.993430221,0.833256029,0.988081507,0.1875,1,0.05,0.85141787,Very High Risk
Startup_37,Gaming,3,216.2,1257.15,21.06,3241,0.067,0.006,2.33,0,16.85,4.21,20,0.1,481.48,1990,32,Europe,Private,0.235630933,0.000995421,0.288106249,0.002306805,1,0.764369067,0.999004579,0.711893751,0.997693195,0,1,0.05,0.797331224,High Risk
Startup_38,IoT,1,32.42,472.04,82.53,2357,0.014,0.035,4.37,0,66.02,16.51,20,2.55,1356.01,2021,1,Asia,Private,0.967712501,0.025383237,0.107830891,0.013456363,0.03125,0.032287499,0.974616763,0.892169109,0.986543637,0.96875,1,0.05,0.731677139,Medium Risk
Startup_39,EdTech,5,42.44,257.34,52.08,1937,0.022,0.027,7.22,1,20.83,31.25,60,1.23,506.36,2002,20,Asia,Private,0.256458337,0.012243679,0.058531915,0.010380623,0.625,0.743541663,0.987756321,0.941468085,0.989619377,0.375,0,0.05,0.760599799,High Risk
Startup_40,FinTech,4,79.47,869.37,37.41,2726,0.029,0.014,5.68,1,14.96,22.45,60,0.47,993.96,1995,27,Europe,Acquired,0.664635269,0.004678479,0.199064996,0.005382545,0.84375,0.335364731,0.995321521,0.800935004,0.994617455,0.15625,0,-0.05,0.517863356,Very Low Risk
Startup_41,IoT,1,80.32,1184.2,12.33,369,0.218,0.033,4.33,0,9.86,2.47,20,0.15,1374.35,2003,19,South America,Private,0.983065178,0.001493132,0.271355619,0.012687428,0.59375,0.016934822,0.998506868,0.728644381,0.987312572,0.40625,1,0.05,0.651953622,Medium Risk
Startup_42,FinTech,5,219.79,1646.57,73.58,4921,0.045,0.015,3.33,0,58.86,14.72,20,0.33,649.16,2004,18,Australia,Private,0.375998259,0.00328489,0.377524075,0.005767013,0.5625,0.624001741,0.99671511,0.622475925,0.994232987,0.4375,1,0.05,0.791599794,High Risk
Startup_43,HealthTech,5,75.59,242.66,23.66,2395,0.032,0.01,8.41,1,9.46,14.2,60,0.31,221.02,1993,29,Europe,Private,0.017596143,0.003085805,0.055161123,0.003844675,0.90625,0.982403857,0.996914195,0.944838877,0.996155325,0.09375,0,0.05,0.795507934,High Risk
Startup_44,FinTech,3,190.11,1127.31,37.21,951,0.2,0.039,1.52,0,29.77,7.44,20,0.2,492.98,2005,17,North America,Private,0.245257747,0.001990842,0.258292653,0.014994233,0.53125,0.754742253,0.998009158,0.741707347,0.985005767,0.46875,1,0.05,0.844169362,High Risk
Startup_45,AI,5,148.54,1926.64,6.35,1382,0.107,0.005,4.36,0,5.08,1.27,20,0.04,1197.05,2017,5,South America,Private,0.834644812,0.000398168,0.441833178,0.001922338,0.15625,0.165355188,0.999601832,0.558166822,0.998077662,0.84375,1,0.05,0.709070836,Medium Risk
Startup_46,Gaming,5,172.2,2303.23,80.16,1444,0.119,0.056,9.05,1,32.06,48.1,60,0.47,1237.53,2005,17,Asia,Private,0.868531199,0.004678479,0.528305006,0.021530181,0.53125,0.131468801,0.995321521,0.471694994,0.978469819,0.46875,0,0.05,0.546331226,Very Low Risk
Startup_47,EdTech,5,251.51,3074.01,76.68,3185,0.079,0.024,8.47,1,30.67,46.01,60,0.3,1122.22,1993,29,Europe,IPO,0.772003549,0.002986263,0.705289939,0.00922722,0.90625,0.227996451,0.997013737,0.294710061,0.99077278,0.09375,0,0,0.458599286,Very Low Risk
Startup_48,E-Commerce,5,121.61,529.89,73.39,4862,0.025,0.015,4.07,0,58.71,14.68,20,0.6,335.73,2015,7,Asia,Private,0.113621524,0.005972526,0.12111429,0.005767013,0.21875,0.886378476,0.994027474,0.87888571,0.994232987,0.78125,1,0.05,0.929492918,Very High Risk
Startup_49,FinTech,2,231.39,2903.05,30.01,345,0.671,0.087,7.65,1,12,18.01,60,0.13,1154.61,2017,5,South America,Private,0.799117682,0.001294047,0.666034452,0.033448674,0.15625,0.200882318,0.998705953,0.333965548,0.966551326,0.84375,0,0.05,0.579414301,Low Risk
Startup_50,IoT,2,126.9,1779.66,17.43,2994,0.042,0.006,8.25,1,6.97,10.46,60,0.14,1302.41,2021,1,Asia,Private,0.922843175,0.001393589,0.40808393,0.002306805,0.03125,0.077156825,0.998606411,0.59191607,0.997693195,0.96875,0,0.05,0.604326878,Low Risk
Startup_51,AI,3,106.48,1086.87,63.79,387,0.275,0.165,8.9,0,51.03,12.76,20,0.6,920.73,1991,31,Europe,Acquired,0.603333389,0.005972526,0.249006902,0.06343714,0.96875,0.396666611,0.994027474,0.750993098,0.93656286,0.03125,1,-0.05,0.604230541,Low Risk
Startup_52,E-Commerce,1,287.61,4110.09,49.67,1561,0.184,0.032,5.49,1,19.87,29.8,60,0.17,1329.05,2020,2,South America,Private,0.9451439,0.001692216,0.943192516,0.01230296,0.0625,0.0548561,0.998307784,0.056807484,0.98769704,0.9375,0,0.05,0.51380126,Very Low Risk
Startup_53,EdTech,5,55.72,720.02,17.91,304,0.183,0.059,2.12,1,7.16,10.75,60,0.32,1192.21,1992,30,North America,Private,0.830593179,0.003185347,0.164771553,0.022683583,0.9375,0.169406821,0.996814653,0.835228447,0.977316417,0.0625,0,0.05,0.569846365,Low Risk
Startup_54,E-Commerce,1,27.56,303.26,68.62,143,0.193,0.48,2.63,1,27.45,41.17,60,2.49,1000.36,1997,25,Europe,Acquired,0.669992801,0.024785984,0.069075971,0.184544406,0.78125,0.330007199,0.975214016,0.930924029,0.815455594,0.21875,0,-0.05,0.511376546,Very Low Risk
Startup_55,AI,1,231.41,2297.03,99.11,363,0.637,0.273,3.03,1,39.64,59.47,60,0.43,892.62,2013,9,Australia,Private,0.579802106,0.004280311,0.526881375,0.104959631,0.28125,0.420197894,0.995719689,0.473118625,0.895040369,0.71875,0,0.05,0.63129226,Medium Risk
Startup_56,Gaming,3,20.94,150.41,74.75,4936,0.004,0.015,5.98,0,59.8,14.95,20,3.57,618.29,2004,18,Europe,IPO,0.35015654,0.035536532,0.033978866,0.005767013,0.5625,0.64984346,0.964463468,0.966021134,0.994232987,0.4375,1,0,0.793141677,High Risk
Startup_57,Gaming,5,251.21,1233.81,74.02,1527,0.165,0.048,0.42,0,59.22,14.8,20,0.29,391.15,2020,2,South America,Private,0.160014398,0.002886721,0.282746966,0.018454441,0.0625,0.839985602,0.997113279,0.717253034,0.981545559,0.9375,1,0.05,0.907988845,Very High Risk
Startup_58,Cybersecurity,5,131.44,1348.5,95.04,3461,0.038,0.027,6.4,0,76.03,19.01,20,0.72,925.94,1998,24,Europe,Private,0.607694755,0.007167032,0.30908185,0.010380623,0.75,0.392305245,0.992832968,0.69091815,0.989619377,0.25,1,0.05,0.723723534,Medium Risk
Startup_59,Gaming,4,274.7,1872.72,20.37,1632,0.168,0.012,3.71,0,16.3,4.07,20,0.07,581.73,1991,31,North America,Private,0.319551642,0.000696795,0.429452177,0.00461361,0.96875,0.680448358,0.999303205,0.570547823,0.99538639,0.03125,1,0.05,0.757987863,High Risk
Startup_60,Cybersecurity,1,216.6,2901.85,56.6,1308,0.166,0.043,3.02,0,45.28,11.32,20,0.26,1239.73,1997,25,North America,Acquired,0.870372851,0.002588095,0.66575891,0.016532103,0.78125,0.129627149,0.997411905,0.33424109,0.983467897,0.21875,1,-0.05,0.501420516,Very Low Risk
Startup_61,E-Commerce,1,183.32,2735.14,97.97,1139,0.161,0.086,8.81,1,39.19,58.78,60,0.53,1392,1996,26,Australia,Private,0.997840245,0.005275732,0.6274793,0.033064206,0.8125,0.002159755,0.994724268,0.3725207,0.966935794,0.1875,0,0.05,0.469153266,Very Low Risk
Startup_62,HealthTech,2,284.82,3426.14,16.61,2191,0.13,0.008,4.65,1,6.64,9.97,60,0.06,1102.91,2005,17,Asia,IPO,0.755838872,0.000597253,0.786145311,0.00307574,0.53125,0.244161128,0.999402747,0.213854689,0.99692426,0.46875,0,0,0.489412674,Very Low Risk
Startup_63,IoT,4,119.3,487.43,70.06,3175,0.038,0.022,1.04,1,28.02,42.04,60,0.59,308.58,2019,3,South America,IPO,0.090893871,0.005872984,0.111364711,0.008458285,0.09375,0.909106129,0.994127016,0.888635289,0.991541715,0.90625,0,0,0.798753486,High Risk
Startup_64,IoT,2,286.25,1850.39,58.62,3840,0.075,0.015,8.28,1,23.45,35.17,60,0.2,546.42,1999,23,South America,Acquired,0.289993136,0.001990842,0.424324808,0.005767013,0.71875,0.710006864,0.998009158,0.575675192,0.994232987,0.28125,0,-0.05,0.590714774,Low Risk
Startup_65,E-Commerce,2,40.93,176.38,58.69,2156,0.019,0.027,0.57,1,23.48,35.21,60,1.43,330.93,2007,15,Asia,Acquired,0.109603375,0.014234521,0.039942044,0.010380623,0.46875,0.890396625,0.985765479,0.960057956,0.989619377,0.53125,0,-0.05,0.715328852,Medium Risk
Startup_66,FinTech,2,145.38,1571,69.8,1242,0.117,0.056,7.29,0,55.84,13.96,20,0.48,980.62,1994,28,North America,Private,0.653468165,0.004778021,0.360171846,0.021530181,0.875,0.346531835,0.995221979,0.639828154,0.978469819,0.125,1,0.05,0.690922051,Medium Risk
Startup_67,FinTech,3,81.34,990.91,92.97,3740,0.022,0.025,7.76,0,74.38,18.59,20,1.14,1118.23,2018,4,North America,IPO,0.768663463,0.0113478,0.226972763,0.009611688,0.125,0.231336537,0.9886522,0.773027237,0.990388312,0.875,1,0,0.707576907,Medium Risk
Startup_68,Gaming,3,162.18,2288.05,78.28,2839,0.057,0.028,3.59,0,62.62,15.66,20,0.48,1310.81,2012,10,Europe,Private,0.929874935,0.004778021,0.524819405,0.01076509,0.3125,0.070125065,0.995221979,0.475180595,0.98923491,0.6875,1,0.05,0.654987988,Medium Risk
Startup_69,IoT,2,49.02,404.81,5.71,4265,0.011,0.001,8.27,1,2.28,3.43,60,0.12,725.81,1994,28,Australia,Private,0.44016307,0.001194505,0.092393675,0.000384468,0.875,0.55983693,0.998805495,0.907606325,0.999615532,0.125,0,0.05,0.68830361,Medium Risk
Startup_70,IoT,4,252.54,3489.22,85.29,1003,0.252,0.085,5.21,0,68.23,17.06,20,0.34,1281.65,2019,3,Australia,Private,0.905464682,0.003384432,0.800629612,0.032679739,0.09375,0.094535318,0.996615568,0.199370388,0.967320261,0.90625,1,0.05,0.63858554,Medium Risk
Startup_71,Cybersecurity,1,254,3437.81,22.63,2572,0.099,0.009,4.69,1,9.05,13.58,60,0.09,1253.47,1995,27,Australia,Private,0.881874801,0.000895879,0.788824953,0.003460208,0.84375,0.118125199,0.999104121,0.211175047,0.996539792,0.15625,0,0.05,0.47613435,Very Low Risk
Startup_72,HealthTech,4,286.59,1950.63,37.75,1312,0.218,0.029,0.55,0,30.2,7.55,20,0.13,580.63,1993,29,Europe,Private,0.318630816,0.001294047,0.447341713,0.011149558,0.90625,0.681369184,0.998705953,0.552658287,0.988850442,0.09375,1,0.05,0.760684796,High Risk
Startup_73,AI,5,46.82,628.64,46.23,661,0.071,0.07,2.97,1,18.49,27.74,60,0.99,1242.67,2018,4,Australia,Private,0.872833967,0.009854669,0.143789064,0.026912726,0.125,0.127166033,0.990145331,0.856210936,0.973087274,0.875,0,0.05,0.641715306,Medium Risk
Startup_74,FinTech,3,187.19,1405.44,48.14,2665,0.07,0.018,9.32,1,19.26,28.88,60,0.26,650.81,2012,10,Asia,Acquired,0.377379497,0.002588095,0.322156296,0.006920415,0.3125,0.622620503,0.997411905,0.677843704,0.993079585,0.6875,0,-0.05,0.624526,Medium Risk
Startup_75,IoT,1,142.53,935.34,43.57,2216,0.064,0.02,3.98,1,17.43,26.14,60,0.31,556.24,1995,27,Europe,Private,0.298213598,0.003085805,0.214212893,0.00768935,0.84375,0.701786402,0.996914195,0.785787107,0.99231065,0.15625,0,0.05,0.707169103,Medium Risk
Startup_76,Cybersecurity,1,103.64,1118.16,93.74,1914,0.054,0.049,5.51,1,37.5,56.24,60,0.9,978.89,2021,1,Asia,Acquired,0.652019957,0.00895879,0.256191648,0.018838908,0.03125,0.347980043,0.99104121,0.743808352,0.981161092,0.96875,0,-0.05,0.590823669,Low Risk
Startup_77,EdTech,5,105.79,734.24,70.63,3735,0.028,0.019,5.37,1,28.25,42.38,60,0.67,594.05,2007,15,Europe,IPO,0.32986489,0.006669321,0.168036721,0.007304883,0.46875,0.67013511,0.993330679,0.831963279,0.992695117,0.53125,0,0,0.693023673,Medium Risk
Startup_78,Cybersecurity,5,124.13,1311.12,63.15,2051,0.061,0.031,5.95,1,25.26,37.89,60,0.51,956.25,2004,18,Australia,IPO,0.633067689,0.005076647,0.30049873,0.011918493,0.5625,0.366932311,0.994923353,0.69950127,0.988081507,0.4375,0,0,0.587605165,Low Risk
Startup_79,FinTech,2,211.63,2183.59,5.08,3167,0.067,0.002,0.71,1,2.03,3.05,60,0.02,931.8,2021,1,Asia,Private,0.612600244,0.000199084,0.500833513,0.000768935,0.03125,0.387399756,0.999800916,0.499166487,0.999231065,0.96875,0,0.05,0.668444755,Medium Risk
Startup_80,FinTech,3,179.69,1754,90.4,1145,0.157,0.079,3.69,1,36.16,54.24,60,0.5,876.13,1998,24,Asia,Acquired,0.565998091,0.004977105,0.402191933,0.030372933,0.75,0.434001909,0.995022895,0.597808067,0.969627067,0.25,0,-0.05,0.517620326,Very Low Risk
Startup_81,Cybersecurity,3,138.17,1045.26,90.95,271,0.51,0.336,7.26,1,36.38,54.57,60,0.66,656.5,1999,23,Asia,Private,0.382142678,0.006569779,0.239452499,0.129181084,0.71875,0.617857322,0.993430221,0.760547501,0.870818916,0.28125,0,0.05,0.675980337,Medium Risk
Startup_82,AI,4,23.24,222.69,78.04,1850,0.013,0.042,2.09,0,62.43,15.61,20,3.36,858.22,2009,13,Europe,Acquired,0.551005374,0.033446148,0.050575652,0.016147636,0.40625,0.448994626,0.966553852,0.949424348,0.983852364,0.59375,1,-0.05,0.704925934,Medium Risk
Startup_83,E-Commerce,2,23.79,241.65,0.8,1713,0.014,0,2.12,0,0.64,0.16,20,0.03,915.76,1995,27,South America,Private,0.599172931,0.000298626,0.054929209,0,0.84375,0.400827069,0.999701374,0.945070791,1,0.15625,1,0.05,0.757532661,High Risk
Startup_84,FinTech,2,1.2,11.46,5.82,3635,0,0.002,0.2,0,4.66,1.16,20,4.85,855,1992,30,Australia,Acquired,0.548309866,0.048277922,0.00207345,0.000768935,0.9375,0.451690134,0.951722078,0.99792655,0.999231065,0.0625,1,-0.05,0.659090591,Medium Risk
Startup_85,Cybersecurity,2,290.33,2419.33,22.6,3216,0.09,0.007,4.43,0,18.08,4.52,20,0.08,733.3,2000,22,Asia,Acquired,0.446433056,0.000796337,0.554963651,0.002691273,0.6875,0.553566944,0.999203663,0.445036349,0.997308727,0.3125,1,-0.05,0.63583423,Medium Risk
Startup_86,IoT,2,2.07,6.57,13.22,2298,0.001,0.006,8.84,0,10.58,2.64,20,6.39,217.39,2006,16,South America,Private,0.014557418,0.063607406,0.000950618,0.002306805,0.5,0.985442582,0.936392594,0.999049382,0.997693195,0.5,1,0.05,0.933150551,Very High Risk
Startup_87,Cybersecurity,3,31.38,315.2,39.94,3737,0.008,0.011,0.61,1,15.98,23.96,60,1.27,904.46,2021,1,Australia,Acquired,0.589713539,0.012641848,0.07181761,0.004229143,0.03125,0.410286461,0.987358152,0.92818239,0.995770857,0.96875,0,-0.05,0.635511233,Medium Risk
Startup_88,HealthTech,3,94.72,475.62,92.27,3834,0.025,0.024,1.99,1,36.91,55.36,60,0.97,402.13,1993,29,Australia,Private,0.169205913,0.009655584,0.108652923,0.00922722,0.90625,0.830794087,0.990344416,0.891347077,0.99077278,0.09375,0,0.05,0.747460383,Medium Risk
Startup_89,E-Commerce,2,242.33,2595.58,47.26,1515,0.16,0.031,3.17,1,18.9,28.36,60,0.2,971.09,1993,29,Asia,Private,0.645490465,0.001990842,0.595433817,0.011918493,0.90625,0.354509535,0.998009158,0.404566183,0.988081507,0.09375,0,0.05,0.556501369,Low Risk
Startup_90,EdTech,4,288.65,3496.17,1.44,480,0.601,0.003,7.34,0,1.15,0.29,20,0,1111.21,2006,16,Asia,Acquired,0.762786921,0,0.802225457,0.001153403,0.5,0.237213079,1,0.197774543,0.998846597,0.5,1,-0.05,0.538796441,Very Low Risk
